PartitionKey,RowKey,Timestamp,ImageResult,ImageResult@type,Status,Status@type,StatusDescription,StatusDescription@type,ImageConversionMode,ImageConversionMode@type,ImageSource,ImageSource@type
imageconversions,03380d22-d0c6-480b-a22f-7e81a93ec310,2021-03-29T22:55:33.768Z,https://cscie94assignment3.blob.core.windows.net/convertedimages/26e5194c-9a60-4d32-afa0-614888609555-turkey.jpg,Edm.String,3,Edm.String,Image successfully converted,Edm.String,,,,
imageconversions,04fffd0e-5fdb-4da6-8835-7e5651443789,2021-03-30T14:37:22.198Z,https://cscie94assignment3.blob.core.windows.net/convertedimages/90a9dd88-6b26-4ba8-ad6f-c5f0cb240a13-turkey.jpg,Edm.String,3,Edm.Int32,Image successfully converted,Edm.String,,,,
imageconversions,0c845f6c-c402-4fbe-852a-ab5296ff0ef5,2021-03-30T14:37:22.288Z,,,2,Edm.Int32,Converting to Sepia,Edm.String,Sepia,Edm.String,https://cscie94assignment3.blob.core.windows.net/converttosepia/seagul.jpg,Edm.String
imageconversions,0f100ed3-7b10-40b1-9ec6-c38e2da91aaf,2021-03-30T04:14:20.456Z,https://cscie94assignment3.blob.core.windows.net/failedimages/8cd1b84b-dab2-4b0f-997f-1367e09b071d-usconstitution.pdf,Edm.String,4,Edm.String,Image failed during image conversion process,Edm.String,,,,
imageconversions,10c09044-b910-4fb7-bfe7-ea320647f4a6,2021-03-29T21:55:20.436Z,/convertedimages/86155b1e-9372-44a1-b0d1-db449e346b69-Dogs.JPG,Edm.String,3,Edm.String,Image successfully converted,Edm.String,,,,
imageconversions,1b1865ee-4818-40ee-9986-c4ab56fe09f9,2021-03-30T13:43:28.761Z,https://cscie94assignment3.blob.core.windows.net/failedimages/0a42fa2b-ee68-46b2-8e0d-1a0a73d43ac5-usconstitution.pdf,Edm.String,4,Edm.String,Image failed during image conversion process,Edm.String,,,,
imageconversions,1b8936ea-cce2-4f44-878b-3e924c44d28d,2021-03-29T22:55:22.861Z,,,1,Edm.String,,,GreyScale,Edm.String,/converttogreyscale/72358242_p0.jpg,Edm.String
imageconversions,29bab194-da76-4356-ae44-8fc0f57f9251,2021-03-29T21:51:49.900Z,,,1,Edm.String,,,Sepia,Edm.String,/converttosepia/seagul.jpg,Edm.String
imageconversions,34e1e279-e996-4fd4-b4f9-31893dbf5a30,2021-03-29T22:55:33.760Z,https://cscie94assignment3.blob.core.windows.net/failedimages/26e5194c-9a60-4d32-afa0-614888609555-turkey.jpg,Edm.String,4,Edm.String,Image failed during image conversion process,Edm.String,,,,
imageconversions,3897e5c7-0ca0-4629-9d5d-7412b25521d6,2021-03-30T14:31:10.875Z,https://cscie94assignment3.blob.core.windows.net/convertedimages/fa7a5e45-3464-403c-80e0-6546ee364610-seagul.jpg,Edm.String,3,Edm.Int32,Image successfully converted,Edm.String,,,,
imageconversions,3ba1385d-96a7-416e-bdbd-29b95b9f8b8d,2021-03-29T21:20:17.655Z,/convertedimages/b9b69a45-eacf-4cd7-9c3e-d5afb40a5921-Dogs.JPG,Edm.String,3,Edm.String,Image successfully converted,Edm.String,,,,
imageconversions,3c74c820-4285-40fe-8809-47f20863dc2f,2021-03-29T21:52:09.426Z,/convertedimages/7e46322d-58a3-43c5-8fa1-45cc038a13dd-turkey.jpg,Edm.String,3,Edm.String,Image successfully converted,Edm.String,,,,
